                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     83,                0.51373,                0.37632,                 1.0821,                0.99471,                      1,                  0.995,                0.94245,                0.40009,                0.26456,                0.91941,              0.0003764,              0.0003764,              0.0003764
                     84,                0.45418,                0.34572,                 1.0617,                0.99481,                      1,                  0.995,                0.93464,                0.39796,                0.25598,                0.92161,              0.0003566,              0.0003566,              0.0003566
                     85,                0.42098,                0.33464,                 1.0303,                 0.9948,                      1,                  0.995,                 0.9278,                0.39759,                0.25115,                0.92773,              0.0003368,              0.0003368,              0.0003368
                     86,                0.41245,                0.30897,                 1.0266,                0.99478,                      1,                  0.995,                0.93589,                0.41772,                0.25532,                0.96759,               0.000317,               0.000317,               0.000317
                     87,                0.44312,                0.33021,                 1.0747,                0.99507,                      1,                  0.995,                0.92275,                0.45226,                0.26528,                 1.0056,              0.0002972,              0.0002972,              0.0002972
                     88,                 0.4771,                0.33505,                 1.0619,                0.99517,                      1,                  0.995,                0.91018,                0.46411,                0.26046,                 1.0098,              0.0002774,              0.0002774,              0.0002774
                     89,                0.44787,                 0.3341,                 1.0578,                0.99512,                      1,                  0.995,                0.90379,                0.45689,                0.24999,                0.99987,              0.0002576,              0.0002576,              0.0002576
                     90,                  0.421,                0.33148,                 1.0653,                0.99509,                      1,                  0.995,                0.90941,                0.44632,                0.24763,                 0.9746,              0.0002378,              0.0002378,              0.0002378
                     91,                 0.3185,                0.34167,                0.99618,                0.99513,                      1,                  0.995,                0.91756,                0.45245,                0.27293,                0.97628,               0.000218,               0.000218,               0.000218
                     92,                0.30923,                0.26041,                 1.0172,                0.99514,                      1,                  0.995,                 0.9046,                0.44899,                0.27561,                0.97601,              0.0001982,              0.0001982,              0.0001982
                     93,                0.28618,                0.24889,                0.98005,                0.99504,                      1,                  0.995,                0.89758,                0.44338,                0.25975,                 0.9796,              0.0001784,              0.0001784,              0.0001784
                     94,                0.28466,                0.24359,                0.99151,                0.99503,                      1,                  0.995,                0.91061,                0.43117,                0.24781,                0.97979,              0.0001586,              0.0001586,              0.0001586
                     95,                 0.2675,                0.23802,                0.99195,                0.99501,                      1,                  0.995,                0.90504,                0.42563,                 0.2495,                0.98836,              0.0001388,              0.0001388,              0.0001388
                     96,                0.27778,                0.22531,                0.92865,                0.99498,                      1,                  0.995,                0.92024,                 0.4201,                0.24534,                0.98926,               0.000119,               0.000119,               0.000119
                     97,                0.26261,                0.21366,                0.95918,                0.99506,                      1,                  0.995,                0.91743,                 0.4129,                0.23717,                0.98439,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                0.26295,                 0.2114,                0.94238,                0.99504,                      1,                  0.995,                0.93695,                0.40377,                0.22865,                0.97261,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                0.26315,                0.20657,                0.96085,                0.99497,                      1,                  0.995,                0.93785,                0.39728,                0.22557,                0.96409,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                0.25043,                0.20693,                0.95343,                0.99495,                      1,                  0.995,                0.92342,                0.38793,                0.22085,                0.95548,               3.98e-05,               3.98e-05,               3.98e-05
